,year,rank,name,citizenship,age,net_worth,residence,source,category,continents
0,2010.0,1.0,Carlos Slim Helu & family,Mexico,70.0,53.5,Mexico,,,North America
1,2010.0,2.0,William Gates III,United States,54.0,53.0,United States,,,North America
2,2010.0,3.0,Warren Buffett,United States,79.0,47.0,United States,,,North America
3,2010.0,4.0,Mukesh Ambani,India,52.0,29.0,India,,,Asia
4,2010.0,5.0,Lakshmi Mittal,India,59.0,28.7,United Kingdom,,,Asia
5,2010.0,6.0,Lawrence Ellison,United States,65.0,28.0,United States,,,North America
6,2010.0,7.0,Bernard Arnault,France,61.0,27.5,France,,,Europe
7,2010.0,8.0,Eike Batista,Brazil,53.0,27.0,Brazil,,,South America
8,2010.0,9.0,Amancio Ortega,Spain,74.0,25.0,Spain,,,Europe
9,2010.0,10.0,Karl Albrecht,Germany,90.0,23.5,Germany,,,Europe
10,2010.0,11.0,Ingvar Kamprad & family,Sweden,83.0,23.0,Switzerland,,,Europe
11,2010.0,12.0,Christy Walton & family,United States,55.0,22.5,United States,,,North America
12,2010.0,13.0,Stefan Persson,Sweden,62.0,22.4,Sweden,,,Europe
13,2010.0,14.0,Li Ka-shing,Hong Kong,81.0,21.0,Hong Kong,,,Asia
14,2010.0,15.0,Jim Walton,United States,62.0,20.7,United States,,,North America
15,2010.0,16.0,Alice Walton,United States,60.0,20.6,United States,,,North America
16,2010.0,17.0,Liliane Bettencourt,France,87.0,20.0,France,,,Europe
17,2010.0,18.0,S. Robson Walton,United States,66.0,19.8,United States,,,North America
18,2010.0,19.0,Prince Alwaleed Bin Talal Alsaud,Saudi Arabia,55.0,19.4,Saudi Arabia,,,Asia
19,2010.0,20.0,David Thomson & family,Canada,52.0,19.0,Canada,,,North America
20,2010.0,21.0,Michael Otto & family,Germany,66.0,18.7,Germany,,,Europe
21,2010.0,22.0,Lee Shau Kee,Hong Kong,82.0,18.5,Hong Kong,,,Asia
22,2010.0,23.0,Michael Bloomberg,United States,68.0,18.0,United States,,,North America
23,2010.0,24.0,Sergey Brin,United States,36.0,17.5,United States,,,North America
24,2010.0,24.0,Charles Koch,United States,74.0,17.5,United States,,,North America
25,2010.0,24.0,David Koch,United States,69.0,17.5,United States,,,North America
26,2010.0,24.0,Larry Page,United States,37.0,17.5,United States,,,North America
27,2010.0,28.0,Michele Ferrero & family,Italy,83.0,17.0,Monaco,,,Europe
28,2010.0,28.0,Kwok family,Hong Kong,,17.0,Hong Kong,,,Asia
